District,Contact,Role,Warm Intro,Outreach Date,Status,Demo Booked
Cleveland Metropolitan School District,,,,,,
Akron Public Schools,,,,,,
Breakthrough Public Schools,,,,,,
Columbus City Schools,,,,,,
Cincinnati Public Schools,,,,,,
